CLASSIF,DATE_CASE,REF,NOT_COUNTRY,SUBJET,PROD_CAT,TYPE,RISK_DECISION,ACTION_TAKEN,DISTRIBUTION_STAT,PRODUCT,HAZARDS,HAZARDS_CAT,COUNT_ORIGEN
information for attention,2020-12-31,2020.6105,Romania,acetamiprid (1.1 mg/kg - ppm) in white seedless grapes from Turkey,fruits and vegetables,food,serious,withdrawal from the market,distribution restricted to notifying country,white seedless grapes,acetamiprid,pesticide residues,Turkey
information for attention,2020-12-31,2020.6111,Italy,norovirus (presence /2g) in oysters (Crassostrea gigas) from France,bivalve molluscs and products thereof,food,undecided,informing consignor,product (presumably) no longer on the market,oysters (crassostrea gigas),norovirus,pathogenic micro-organisms,France
information for follow-up,2020-12-31,2020.6103,Italy,presence of bacterial inhibitor in raw milk from Austria,milk and milk products,food,undecided,return to consignor,no distribution from notifying country,raw milk,presence of bacterial inhibitor,residues of veterinary medicinal products,Austria
alert,2020-12-31,2020.6110,Poland,"deoxynivalenol (DON) (2174 µg/kg - ppb) in popcorn from Hungary, packaged in Poland",cereals and bakery products,food,serious,informing authorities,distribution to other member countries,popcorn,deoxynivalenol (don),mycotoxins,"Hungary,Poland"
alert,2020-12-31,2020.6102,Finland,"ochratoxin A (91 µg/kg - ppb) in organic licorice root powder from the Netherlands, packaged in Denmark",herbs and spices,food,serious,destruction,distribution to other member countries,organic licorice root powder,ochratoxin a,mycotoxins,Denmark
information for attention,2020-12-31,2020.6108,France,Salmonella enterica ser. Chester (presence /25g) in chilled stuffed roast duck from France,meat and meat products (other than poultry),food,not serious,no stock left,product (presumably) no longer on the market,chilled stuffed roast duck,salmonella enterica ser. chester,pathogenic micro-organisms,France
information for follow-up,2020-12-31,2020.6101,Italy,too high content of sulphite (163 mg/kg - ppm) in frozen mantis shrimps (Squilla mantis) from Spain,crustaceans and products thereof,food,not serious,withdrawal from the market,no distribution from notifying country,frozen mantis shrimps (squilla mantis),too high content of sulphite,food additives and flavourings,Spain
alert,2020-12-31,2020.6106,Poland,"migration of primary aromatic amines (> 5 mg/kg - ppm) from slotted spoons from China, via Slovakia",food contact materials,fcm,serious,informing authorities,information on distribution not (yet) available,slotted spoons,migration of primary aromatic amines,migration,China
information for attention,2020-12-31,2020.6104,Italy,"gluten, peanut and egg undeclared on chocolate bars with rum filling from Romania","cocoa and cocoa preparations, coffee and tea",food,serious,recall from consumers,distribution restricted to notifying country,chocolate bars with rum filling,"egg undeclared,gluten undeclared,peanut undeclared","allergens,allergens,allergens",Romania
information for attention,2020-12-31,2020.6107,France,possible presence of plastic in chicken nuggets and cordon bleu from France,poultry meat and poultry meat products,food,serious,recall from consumers,distribution to non-member countries,chicken nuggets and cordon bleu,possible presence of plastic,foreign bodies,France
information for follow-up,2020-12-30,2020.6093,Denmark,plastic fragments in frozen breaded and pre-baked mozzarella sticks from Germany,prepared dishes and snacks,food,undecided,withdrawal from recipient(s),distribution to other member countries,frozen breaded and pre-baked mozzarella sticks,plastic fragments,foreign bodies,Germany
border rejection,2020-12-30,2020.6094,Romania,prochloraz (0.845 mg/kg - ppm) in oranges from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,oranges,prochloraz,pesticide residues,Turkey
border rejection,2020-12-30,2020.6098,Slovenia,pirimiphos-methyl (0.025 mg/kg - ppm) and unauthorised substances chlorpyrifos--methyl (0.081 mg/kg - ppm) in lemons and chlorpyrifos (0.041 mg/kg - ppm) in grapefruits from Turkey,fruits and vegetables,food,undecided,re-dispatch,product not (yet) placed on the market,lemons and grapefruits,"pirimiphos-methyl,unauthorised substance chlorpyrifos,unauthorised substance chlorpyrifos-methyl","pesticide residues,pesticide residues,pesticide residues",Turkey
alert,2020-12-30,2020.6087,Italy,"unauthorised substance ethylene oxide (>2.0 mg/kg - ppm) in organic almond bars and cranberry bars from Canada, via the Netherlands",prepared dishes and snacks,food,serious,recall from consumers,distribution to other member countries,organic almond bars and cranberry bars,unauthorised substance ethylene oxide,pesticide residues,Canada
information for attention,2020-12-30,2020.6081,Romania,Salmonella (presence /25g) in sunflower meal from Romania,feed materials,feed,not serious,official detention,distribution restricted to notifying country,sunflower meal,salmonella,pathogenic micro-organisms,Romania
information for attention,2020-12-30,2020.6091,Italy,"too high count of Escherichia coli (130,330,45,490,170 MPN/100g) in chilled mussels (Mitylus galloprovincialis) from Spain",bivalve molluscs and products thereof,food,serious,informing recipient(s),product (presumably) no longer on the market,chilled mussels (mitylus galloprovincialis),too high count of escherichia coli,microbial contaminants (other),Spain
information for follow-up,2020-12-30,2020.6085,Italy,"migration of manganese (0.39 mg/100ml) from inox sieves from China, via Belgium",food contact materials,fcm,not serious,detained by operator,information on distribution not (yet) available,inox sieves,migration of manganese,metals,China
information for attention,2020-12-30,2020.6083,France,mercury (0.89 mg/kg - ppm) in frozen barracuda from Vietnam,fish and fish products,food,serious, ,information on distribution not (yet) available,frozen barracuda,mercury,metals,Vietnam
border rejection,2020-12-30,2020.6074,Netherlands,aflatoxins (B1 = 54; Tot. = 64 µg/kg - ppb) in organic peanut kernels from Egypt,"nuts, nut products and seeds",food,serious,official detention,product not (yet) placed on the market,organic peanut kernels,aflatoxins,mycotoxins,Egypt
alert,2020-12-30,2020.6099,Spain,aflatoxins (B1 = 81 µg/kg - ppb) in dried figs from Spain,fruits and vegetables,food,serious,no stock left,distribution to other member countries,dried figs,aflatoxins,mycotoxins,Spain
border rejection,2020-12-30,2020.6100,Romania,prochloraz (0.915 mg/kg - ppm) in mandarines from Turkey,fruits and vegetables,food,serious,re-dispatch,product not (yet) placed on the market,mandarines,prochloraz,pesticide residues,Turkey
border rejection,2020-12-30,2020.6082,Germany,"Salmonella enterica ser. Abaetetuba (presence /25g), Salmonella enterica ser. Glostrup (presence /25g) and Salmonella enterica ser. Kiambu (presence /25g) in black pepper from Brazil",herbs and spices,food,serious,official detention,product not (yet) placed on the market,black pepper,"salmonella enterica ser. abaetetuba,salmonella enterica ser. glostrup,salmonella enterica ser. kiambu","pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms",Brazil
border rejection,2020-12-30,2020.6080,Germany,Salmonella enterica ser. Saintpaul (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,official detention,product not (yet) placed on the market,black pepper,salmonella enterica ser. saintpaul,pathogenic micro-organisms,Brazil
border rejection,2020-12-30,2020.6079,Netherlands,Salmonella (presence /25g) in black pepper from Brazil,herbs and spices,food,serious,physical/chemical treatment,product not (yet) placed on the market,black pepper,salmonella,pathogenic micro-organisms,Brazil
alert,2020-12-29,2020.6062,United Kingdom,milk ingredient (150 mg/kg - ppm) undeclared on salted caramel brownie protein snacks from the United Kingdom,confectionery,food,serious,informing recipient(s),distribution to other member countries,salted caramel brownie protein snacks,milk ingredient undeclared,allergens,United Kingdom
border rejection,2020-12-29,2020.6060,Croatia,glycidyl esters (7800 µg/kg - ppb) in palm oil from Malaysia,fats and oils,food,serious,return to consignor,product not (yet) placed on the market,palm oil,glycidyl esters,process contaminants,Malaysia
border rejection,2020-12-29,2020.6075,Spain,unauthorised substance chlorpyrifos (0.096 mg/kg - ppm) in coffee beans from Cameroon,"cocoa and cocoa preparations, coffee and tea",food,undecided,detained by operator,product not (yet) placed on the market,coffee beans,unauthorised substance chlorpyrifos,pesticide residues,Cameroon
border rejection,2020-12-29,2020.6061,Bulgaria,formetanate (0.096 mg/kg - ppm) in fresh peppers from Turkey,fruits and vegetables,food,serious,destruction,product not (yet) placed on the market,fresh peppers,formetanate,pesticide residues,Turkey
information for attention,2020-12-29,2020.6071,France,high count of Escherichia coli (730000 CFU/g) in chilled burrata from Italy,milk and milk products,food,serious,recall from consumers,product (presumably) no longer on the market,chilled burrata,high count of escherichia coli,microbial contaminants (other),Italy
alert,2020-12-29,2020.6077,Sweden,"unauthorised substance ethylene oxide (2.5 mg/kg - ppm) in sesame seeds used in buns manufactured in Germany, via France","nuts, nut products and seeds",food,serious,recall from consumers,no distribution from notifying country,sesame seeds used in buns,unauthorised substance ethylene oxide,pesticide residues,Germany
alert,2020-12-29,2020.6067,Sweden,unauthorised substance ethylene oxide (1.0 mg/kg - ppm) in hulled sesame seeds dispatched from Denmark,"nuts, nut products and seeds",food,serious,withdrawal from the market,no distribution from notifying country,hulled sesame seeds,unauthorised substance ethylene oxide,pesticide residues,Denmark
