PROD_CAT,NOT_COUNTRY,COUNT_ORIGEN,HAZARDS_CAT,HAZARDS,RISK_DECISION
fruits and vegetables,romania,turkey,pesticide residues,acetamiprid,serious
bivalve molluscs and products thereof,italy,france,pathogenic micro-organisms,norovirus,undecided
milk and milk products,italy,austria,residues of veterinary medicinal products,presence of bacterial inhibitor,undecided
cereals and bakery products,poland,"hungary,poland",mycotoxins,deoxynivalenol (don),serious
herbs and spices,finland,denmark,mycotoxins,ochratoxin a,serious
meat and meat products (other than poultry),france,france,pathogenic micro-organisms,salmonella enterica ser. chester,not serious
crustaceans and products thereof,italy,spain,food additives and flavourings,too high content of sulphite,not serious
food contact materials,poland,china,migration,migration of primary aromatic amines,serious
"cocoa and cocoa preparations, coffee and tea",italy,romania,"allergens,allergens,allergens","egg undeclared,gluten undeclared,peanut undeclared",serious
poultry meat and poultry meat products,france,france,foreign bodies,possible presence of plastic,serious
prepared dishes and snacks,denmark,germany,foreign bodies,plastic fragments,undecided
fruits and vegetables,romania,turkey,pesticide residues,prochloraz,serious
fruits and vegetables,slovenia,turkey,"pesticide residues,pesticide residues,pesticide residues","pirimiphos-methyl,unauthorised substance chlorpyrifos,unauthorised substance chlorpyrifos-methyl",undecided
prepared dishes and snacks,italy,canada,pesticide residues,unauthorised substance ethylene oxide,serious
feed materials,romania,romania,pathogenic micro-organisms,salmonella,not serious
bivalve molluscs and products thereof,italy,spain,microbial contaminants (other),too high count of escherichia coli,serious
food contact materials,italy,china,metals,migration of manganese,not serious
fish and fish products,france,vietnam,metals,mercury,serious
"nuts, nut products and seeds",netherlands,egypt,mycotoxins,aflatoxins,serious
fruits and vegetables,spain,spain,mycotoxins,aflatoxins,serious
herbs and spices,germany,brazil,"pathogenic micro-organisms,pathogenic micro-organisms,pathogenic micro-organisms","salmonella enterica ser. abaetetuba,salmonella enterica ser. glostrup,salmonella enterica ser. kiambu",serious
herbs and spices,germany,brazil,pathogenic micro-organisms,salmonella enterica ser. saintpaul,serious
herbs and spices,netherlands,brazil,pathogenic micro-organisms,salmonella,serious
confectionery,united kingdom,united kingdom,allergens,milk ingredient undeclared,serious
fats and oils,croatia,malaysia,process contaminants,glycidyl esters,serious
"cocoa and cocoa preparations, coffee and tea",spain,cameroon,pesticide residues,unauthorised substance chlorpyrifos,undecided
fruits and vegetables,bulgaria,turkey,pesticide residues,formetanate,serious
milk and milk products,france,italy,microbial contaminants (other),high count of escherichia coli,serious
"nuts, nut products and seeds",sweden,germany,pesticide residues,unauthorised substance ethylene oxide,serious
"nuts, nut products and seeds",sweden,denmark,pesticide residues,unauthorised substance ethylene oxide,serious
fruits and vegetables,bulgaria,turkey,"pesticide residues,pesticide residues","buprofezin,unauthorised substance chlorpyrifos-methyl",undecided
"nuts, nut products and seeds",germany,turkey,"mycotoxins,mycotoxins","aflatoxins,ochratoxin a",serious
poultry meat and poultry meat products,france,poland,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
"nuts, nut products and seeds",germany,india,pesticide residues,unauthorised substance ethylene oxide,serious
non-alcoholic beverages,slovenia,serbia,food additives and flavourings,too high content of e 1520 - propylene glycol,not serious
poultry meat and poultry meat products,romania,poland,pathogenic micro-organisms,salmonella enterica ser. enteritidis,serious
fruits and vegetables,netherlands,turkey,mycotoxins,aflatoxins,serious
